,Unnamed: 0,Location,Carpet_Area,Bedrooms,Bathrooms,Balconies,PricePerSqft,Transaction_Type,Totals_Floors,PropertyOnFloor,Furnishing,AgeofConstruction,Amenities,Price,New_Furnishing
0,0,rabale,462.0,1.0,1,0.0,14069,Resale ,7,4,Semi-Furnished,9.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",6499878.0,Semi-Furnished
1,1,juinagar,640.0,1.0,1,0.0,14531,Resale ,25,19,Unfurnished,5.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",9299840.0,Unfurnished
2,2,juinagar,550.0,1.0,1,0.0,7455,Resale ,4,3,Unfurnished,1.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM",4100250.0,Unfurnished
3,3,panvel,850.0,2.0,2,3.0,9412,Resale ,4,3,Semi-Furnished,5.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Power Backup",8000200.0,Semi-Furnished
4,4,panvel,600.0,1.0,1,0.0,9000,Resale ,4,2,Semi-Furnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",5400000.0,Semi-Furnished
5,5,juinagar,630.0,1.0,1,0.0,9683,Resale ,4,2,Unfurnished,15.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",6100290.0,Unfurnished
6,6,panvel,620.0,1.0,1,1.0,9839,Resale ,3,1,Furnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",6100180.0,Furnished
7,7,nerul,465.0,1.0,1,0.0,18495,Resale ,5,4,Unfurnished,5.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Open Parking,Piped Gas,Swimming Pool,Wifi,Garden,Park,Club House,Intercom,Maintenance Staff,Power Backup,Jogging Track,Bank ATM",8600175.0,Unfurnished
8,8,panvel,400.0,0.5,1,1.0,4250,Resale ,5,3,Unfurnished,10.0,"Lift,Water Storage",1700000.0,Unfurnished
9,9,roadpali,700.0,1.0,1,1.0,7571,Resale ,16,8,Unfurnished,10.0,"Lift,Water Storage,Security,Vaastu Compliant,GYM,Waste Disposal,Cover Parking,Piped Gas,Swimming Pool",5299700.0,Unfurnished
